Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample471,Bangladesh,88.1243,24.7493,34.4,-4.3,-28
Sample472,Bangladesh,88.2192,24.719,34.4,-4.8,-37
Sample473,India,88.562,22.737,34.6,-5.08,-33.15
Sample474,India,88.562,22.737,34.6,-5.17,-33.5
Sample475,India,88.563,22.745,34.6,-4.47,-29.87
Sample476,India,88.563,22.749,34.6,-4.17,-26.95
Sample477,India,88.568,22.762,34.6,-5.14,-31.82
Sample478,India,88.559,22.799,34.6,-4.89,-34.46
Sample479,India,88.559,22.802,34.6,-4.89,-33.59
Sample480,Bangladesh,89.071,24.051,35,-3.4,-25.2
Sample481,Bangladesh,89.071,24.051,35,-2.8,-21.1
Sample482,Bangladesh,89.156,23.896,35,-3.4,-21.5
Sample483,Bangladesh,88.635,23.814,35,-5.27,-35.6
Sample484,Bangladesh,88.635,23.814,35,-4.93,-39.1
Sample485,Bangladesh,89.014,24.378,35,-4.4,-30
Sample486,India,88.2399,24.2006,35.1,-3.27,-23.7
Sample487,Bangladesh,88.2369,24.6017,35.1,-5.4,-37
Sample488,Bangladesh,88.2628,24.625,35.1,-5,-34
Sample489,Bangladesh,88.3889,24.6039,35.1,-4.2,-29
Sample490,Bangladesh,88.1603,24.7262,35.1,-5.7,-45
Sample491,Bangladesh,88.102,24.6823,35.1,-5.6,-42
Sample492,India,88.568,22.786,35.5,-3.81,-26.12
Sample493,India,88.21991667,88.21991667,35.97,-3.75,-29.6
Sample494,India,88.49272,22.74328,36,-3.75,-25.6
Sample495,India,88.49507,22.74333,36,-3.23,-23.8
Sample496,Bangladesh,89.051,24.106,36,-5,-34.8
Sample497,Bangladesh,88.655,23.757,36,-4.7,-29.8
Sample498,Bangladesh,88.655,23.757,36,-4.8,-31.5
Sample499,Bangladesh,90.38,24.242,36,-5.2,-32
Sample500,Bangladesh,90.8545,22.9725,36,-4.1,-25
Sample501,India,88.565,22.747,36.1,-3.96,-26.18
Sample502,India,88.565,22.749,36.1,-5.09,-33.1
Sample503,India,88.566,22.791,36.1,-3.46,-24.56
Sample504,India,88.22256667,88.22256667,36.58,-2.7,-21
